# titre | catégorie | ingrédients (grammes pour 2 portions, eau en ml) | préparation,cuisson,repos | équipement | étapes spécifiques séparées par ~
Crème de pois cassés et brocoli à la ciboulette|soupe|pois_casses:150,brocoli:350,ciboulette:10,huile:12,eau:1000|15,65,0|hob,blender|Faire cuire les pois cassés rincés dans l'eau 50 min.~Ajouter le brocoli en petits bouquets et poursuivre 12 à 15 min, jusqu'à ce que les pois s'écrasent facilement.~Mixer avec l'huile et ajouter la ciboulette ciselée dans les bols.
Lentilles vertes aux asperges et petits pois|plat|lentille:160,asperge:300,petits_pois:180,huile:14,eau:450|20,45,0|hob|Cuire les lentilles rincées dans l'eau 30 à 40 min jusqu'à tendreté.~Cuire les asperges parées et les petits pois à la vapeur 8 à 10 min.~Réunir avec les lentilles et leur jus réduit, puis incorporer l'huile.
Purée de pois chiches aux courgettes, sans citron|plat|pois_chiches:160,courgette:400,sesame:20,huile:14,eau:350|20,105,720|hob,blender|Tremper les pois chiches 12 h au réfrigérateur, jeter l'eau puis cuire dans une eau nouvelle 60 à 90 min. Égoutter ; 250 ml d'eau listés estiment l'absorption.~Cuire les courgettes à la vapeur 10 min. Mixer pois chiches, courgettes, sésame, huile et jusqu'à 100 ml d'eau.~Servir comme purée de plat végétal, avec une texture souple et un peu de grain selon le mixeur.
Haricots blancs et champignons en gratin de courge|plat|haricots_blancs:160,champignon:250,courge:350,huile:14,eau:300|25,120,720|hob,oven|Tremper les haricots 12 h au réfrigérateur, jeter l'eau puis cuire dans une eau nouvelle : 10 min à franche ébullition puis 50 à 80 min à frémissement. Égoutter ; 250 ml du volume listé estiment l'absorption.~Cuire la courge à la vapeur 20 min puis l'écraser avec 50 ml d'eau et l'huile. Faire cuire les champignons hachés 10 min.~Réunir haricots et champignons dans un plat, couvrir de purée et cuire 15 min à 190 °C.
Soupe de lentilles corail aux endives et carottes|soupe|corail:150,endive:300,carotte:200,eau:900|15,30,0|hob|Retirer le cône dur des endives et les émincer. Couper les carottes très finement.~Cuire les légumes avec les lentilles rincées dans l'eau à petit frémissement 25 à 30 min.~Écraser quelques carottes à la cuillère pour lier sans mixer toute la soupe.
Lentilles vertes sur aubergine vapeur et crème de persil|plat|lentille:160,aubergine:400,persil:20,huile:14,eau:450|20,45,0|hob,blender|Cuire les lentilles rincées dans 400 ml d'eau 35 à 40 min.~Couper l'aubergine en longues tranches et la cuire à la vapeur 15 à 20 min, jusqu'à complète tendreté.~Mixer le persil avec 50 ml d'eau et l'huile. Servir les lentilles sur l'aubergine et répartir la sauce.
Pois cassés en croûte tendre de sarrasin|plat|pois_casses:140,carotte:200,farine_sarrasin:70,huile:16,eau:800|25,90,20|hob,oven|Cuire les pois cassés et la carotte râpée dans 650 ml d'eau 55 à 65 min ; laisser tiédir 20 min pour épaissir.~Mélanger la farine avec les 150 ml d'eau restants et l'huile pour obtenir une pâte épaisse.~Verser les pois dans un petit plat, étaler la pâte dessus en couche fine et cuire 25 min à 190 °C. Servir à la cuillère.
Salade de haricots blancs, fenouil et radis|salade|haricots_blancs:160,fenouil:250,radis:150,huile:14,eau:250|25,90,750|hob|Tremper les haricots 12 h au réfrigérateur, jeter l'eau puis cuire dans une eau nouvelle : 10 min à franche ébullition puis 50 à 80 min à frémissement. Égoutter ; l'eau listée estime l'absorption.~Refroidir rapidement et réfrigérer les haricots environ 30 min. Émincer finement fenouil et radis.~Mélanger avec l'huile juste avant de servir, sans ajouter de vinaigrette au citron.
Lentilles corail en rubans de chou|plat|corail:160,chou:350,carotte:150,huile:14,eau:550|20,35,0|hob|Émincer le chou en rubans très fins et râper la carotte.~Mettre dans une cocotte avec les lentilles rincées et l'eau. Cuire 25 à 30 min à couvert, en remuant de temps en temps.~Découvrir si nécessaire pour épaissir et ajouter l'huile au service.
Pois chiches écrasés dans des feuilles de laitue|plat|pois_chiches:160,laitue:180,concombre:200,avocat:120,eau:300|25,90,750|hob|Tremper les pois chiches 12 h au réfrigérateur, jeter l'eau puis cuire dans une eau nouvelle 60 à 90 min. Égoutter ; 250 ml du volume listé estiment l'absorption.~Refroidir rapidement. Écraser les pois chiches avec l'avocat et jusqu'à 50 ml d'eau ; incorporer le concombre en petits dés.~Répartir dans les feuilles de laitue lavées et essorées. Consommer immédiatement après assemblage.
Lentilles vertes, panais fondants et noix|plat|lentille:160,panais:300,epinard:150,noix:25,eau:600|15,45,0|hob|Cuire les lentilles rincées dans l'eau 15 min.~Ajouter les panais en petits dés et poursuivre 20 à 25 min jusqu'à tendreté.~Ajouter les épinards pour les 3 dernières minutes, puis les noix concassées au service.
Soupe complète de haricots blancs et riz|soupe|haricots_blancs:100,riz:90,carotte:200,chou:200,eau:1200|20,120,720|hob|Faire tremper les haricots 12 h au réfrigérateur et jeter l'eau.~Cuire les haricots dans l'eau de la recette : 10 min à franche ébullition puis 35 min à frémissement. Ajouter riz rincé et carotte en petits dés.~Poursuivre environ 45 min, en ajoutant le chou émincé 20 min avant la fin. Vérifier que haricots et riz sont entièrement tendres, prolonger si nécessaire.
Lentilles corail à la courgette et aux pignons|plat|corail:160,courgette:350,pignon:25,basilic:10,eau:450|15,25,0|hob|Rincer les lentilles et râper grossièrement la courgette.~Cuire ensemble dans l'eau à feu doux 20 à 25 min, en remuant pour éviter que le fond attache.~Ajouter basilic et pignons à la fin. Servir en préparation épaisse à la cuillère.
Pois cassés aux choux de Bruxelles et noisettes|plat|pois_casses:160,choux_bruxelles:300,noisette:25,huile:12,eau:800|20,65,0|hob|Cuire les pois cassés rincés dans l'eau 45 min.~Couper les choux de Bruxelles en quartiers et les ajouter ; poursuivre 15 à 20 min jusqu'à tendreté.~Réduire le jus si nécessaire et terminer avec huile et noisettes.
Courge farcie aux haricots blancs et sarrasin|plat|haricots_blancs:100,sarrasin:90,courge:500,persil:10,huile:14,eau:430|25,120,720|hob,oven|Faire tremper les haricots 12 h au réfrigérateur, jeter l'eau puis cuire dans une eau nouvelle 10 min à franche ébullition puis 50 à 80 min à frémissement. Égoutter ; 160 ml du volume listé estiment l'absorption.~Cuire le sarrasin dans 220 ml d'eau 15 min. Couper la courge en deux morceaux creusés, l'enrober d'huile et la cuire à couvert 35 min à 190 °C.~Mélanger haricots, sarrasin et persil, garnir la courge, verser les 50 ml d'eau restants au fond du plat et cuire encore 15 min.
Lentilles vertes en salade de courgettes grillées|salade|lentille:160,courgette:400,basilic:12,huile:16,eau:350|20,40,20|hob,oven|Cuire les lentilles dans une grande eau 30 à 35 min et égoutter ; le volume listé estime l'eau absorbée. Refroidir rapidement.~Couper les courgettes en longues tranches et les cuire 20 min à 200 °C avec l'huile.~Couper les tranches en morceaux, mélanger avec les lentilles tièdes et le basilic, puis servir.
# Poissons et volailles
Cabillaud en papillote de chou et fenouil|plat|cabillaud:320,chou:250,fenouil:250,huile:14|20,25,0|hob,oven|Blanchir quatre grandes feuilles de chou 4 min dans une eau ensuite jetée. Cuire le fenouil émincé à la vapeur 8 min.~Déposer fenouil et poisson sur les feuilles, répartir l'huile et replier. Placer les paquets dans un plat couvert.~Cuire 15 à 20 min à 180 °C ; vérifier 63 °C à cœur du poisson, prolonger selon son épaisseur.
Saumon sur lit d'épinards et courgette|plat|saumon:300,epinard:250,courgette:300,ciboulette:8|15,25,0|oven|Couper la courgette en rubans et laver les épinards.~Répartir les légumes dans deux papillotes de papier cuisson, poser le saumon et la ciboulette. Fermer soigneusement.~Cuire 20 à 25 min à 180 °C et vérifier 63 °C à cœur du poisson. Servir avec le jus de la papillote.
Truite au four, poivron doux et champignons|plat|truite:320,poivron:250,champignon:250,huile:14|20,35,0|oven|Couper poivron et champignons en lamelles. Les enrober d'huile et cuire dans un plat couvert 15 min à 180 °C.~Poser les filets de truite sur les légumes et recouvrir le plat.~Poursuivre 15 à 20 min jusqu'à 63 °C à cœur du poisson.
Sardines ouvertes sur aubergine fondante|plat|sardine:320,aubergine:450,ciboulette:8,huile:14|20,45,0|oven|Couper l'aubergine en tranches de 1 cm, badigeonner avec l'huile et cuire à couvert 30 min à 190 °C.~Disposer les filets de sardine désarêtés sur les tranches et remettre au four 8 à 12 min.~Vérifier 63 °C à cœur et terminer avec la ciboulette.
Maquereau au fenouil et quartiers d'orange|plat|maquereau:300,fenouil:350,orange:150|20,30,0|oven|Émincer très finement le fenouil et peler l'orange à vif.~Répartir le fenouil, les quartiers d'orange et leur jus dans deux papillotes, puis ajouter les filets de maquereau.~Cuire 20 à 25 min à 180 °C, jusqu'à 63 °C à cœur. Ne pas ajouter d'huile ni de sel à cette composition.
Poulet roulé aux épinards, purée de chou-fleur|plat|poulet:320,epinard:200,chou_fleur:400,huile:14,eau:100|25,35,0|hob,oven,blender|Faire tomber les épinards à couvert 4 min puis les presser. Ouvrir les filets de poulet en portefeuille sans les laver et les garnir d'épinards.~Rouler, maintenir avec de la ficelle de cuisine, badigeonner de la moitié de l'huile et cuire 25 à 30 min à 180 °C, jusqu'à 74 °C au centre.~Cuire le chou-fleur à la vapeur 15 min, le mixer avec l'eau et l'huile restante. Retirer la ficelle et servir les roulés tranchés.
Dinde émincée aux endives et champignons|plat|dinde:320,endive:350,champignon:200,huile:14,eau:60|20,25,0|hob|Émincer les endives et les champignons, puis couper la dinde en lanières sur une planche séparée.~Faire fondre les légumes avec l'eau à couvert 12 min. Ajouter la dinde et l'huile.~Cuire encore 8 à 12 min en remuant, jusqu'à 74 °C au cœur des morceaux de dinde.
Cabillaud poché en soupe de courgette|soupe|cabillaud:320,courgette:400,fenouil:180,ciboulette:8,eau:700|15,25,0|hob|Cuire fenouil et courgette en petits morceaux dans l'eau 15 min.~Couper le poisson en gros cubes et les déposer dans le bouillon frémissant, sans forte ébullition.~Pocher 6 à 10 min selon l'épaisseur, jusqu'à 63 °C à cœur. Ajouter la ciboulette et servir aussitôt.
Brochettes de poulet, courgette et poivron|plat|poulet:320,courgette:250,poivron:250,huile:16|25,25,0|oven|Couper poulet et légumes en morceaux de 2 cm, avec des ustensiles séparés pour la volaille crue.~Alterner sur quatre brochettes métalliques et badigeonner d'huile.~Cuire 20 à 25 min à 190 °C, en retournant à mi-cuisson. Vérifier 74 °C au centre des morceaux de poulet.
Saumon émietté en barquettes de laitue et concombre|salade|saumon:300,laitue:180,concombre:250,avocat:120|20,20,30|oven|Cuire le saumon dans un plat couvert à 180 °C pendant 15 à 20 min, jusqu'à 63 °C à cœur.~Refroidir rapidement puis réfrigérer environ 30 min. Émietter le poisson et vérifier l'absence d'arêtes.~Mélanger avec avocat en dés et concombre, puis répartir dans les feuilles de laitue. Consommer immédiatement après assemblage.
Truite et brocoli à la vapeur, huile de ciboulette|plat|truite:320,brocoli:400,ciboulette:12,huile:16|15,20,0|hob|Cuire le brocoli à la vapeur pendant 8 min.~Placer les filets de truite dans un second panier ou sur une assiette adaptée ; cuire à la vapeur 8 à 12 min jusqu'à 63 °C à cœur.~Ciseler finement la ciboulette dans l'huile et répartir sur le poisson et le brocoli cuits.
Poulet effiloché aux rubans de chou rouge|plat|poulet:320,chou_rouge:400,fenouil:200,huile:14,eau:200|20,35,0|hob|Émincer chou et fenouil. Les mettre dans une cocotte avec l'eau et poser les filets de poulet dessus.~Cuire à couvert 25 à 30 min, jusqu'à 74 °C au cœur du poulet. Retirer la viande et l'effilocher avec deux fourchettes propres.~Remettre dans la cocotte avec l'huile et faire réduire le jus à découvert quelques minutes.
Dinde en petits ramequins aux champignons|plat|dinde:320,champignon:300,courgette:200,huile:14|25,35,0|hob,oven|Cuire les champignons hachés et la courgette râpée à couvert 10 min pour faire évaporer leur eau.~Hacher la dinde au couteau sur une planche séparée. Mélanger avec les légumes tiédis et l'huile.~Répartir dans quatre ramequins et cuire 25 min à 180 °C jusqu'à 74 °C au centre. Servir dans les ramequins.
Sardines en papillote aux tomates et au fenouil|plat|sardine:320,tomate:250,fenouil:300|20,25,0|oven|Émincer finement le fenouil et couper les tomates en dés.~Répartir dans deux papillotes, poser les filets de sardine et fermer ; le jus des tomates suffit.~Cuire 20 à 25 min à 180 °C, jusqu'à 63 °C à cœur. Servir sans huile ni sel ajouté.
Maquereau au chou-fleur et crème de courgette|plat|maquereau:300,chou_fleur:300,courgette:250,huile:10,eau:80|20,30,0|hob,oven,blender|Cuire chou-fleur et courgette à la vapeur 12 à 15 min.~Mixer la courgette avec l'eau et l'huile, conserver les bouquets de chou-fleur entiers.~Cuire les filets de maquereau au four 15 à 20 min à 180 °C, jusqu'à 63 °C à cœur. Servir avec la sauce et les bouquets.
Cabillaud au citron et aux asperges en papillote|plat|cabillaud:320,asperge:400,citron:40|20,25,0|oven|Parer les asperges et fendre les tiges les plus épaisses dans la longueur.~Déposer asperges et cabillaud dans deux papillotes. Répartir la chair de citron finement hachée avec son jus, puis fermer.~Cuire 20 à 25 min à 180 °C, jusqu'à 63 °C à cœur du poisson. Ne pas compléter avec une sauce à l'huile.
Poulet en cocotte de fenouil à la poire|plat|poulet:320,fenouil:350,poire:180,eau:120|20,35,0|hob|Couper le fenouil en fines lamelles et la poire en quartiers sans pépins.~Mettre dans une cocotte avec l'eau et les filets de poulet, couvrir et faire frémir 25 à 30 min.~Vérifier 74 °C à cœur de la volaille. Retirer les filets et réduire le jus quelques minutes si nécessaire avant de servir.
Saumon au chou rouge étuvé et pomme acidulée|plat|saumon:300,chou_rouge:350,pomme:180,eau:100|20,35,0|hob,oven|Émincer le chou rouge, couper la pomme en fines lamelles et cuire ensemble avec l'eau à couvert 20 min.~Transférer dans un plat, poser le saumon dessus et couvrir.~Cuire 15 à 20 min à 180 °C jusqu'à 63 °C au cœur du poisson.
Truite aux endives vapeur et noisettes|plat|truite:320,endive:400,noisette:25,huile:12|20,25,0|hob,oven|Couper les endives en quartiers et les cuire à la vapeur 15 min.~Les disposer dans un plat avec les filets de truite et l'huile. Cuire à 180 °C 12 à 18 min jusqu'à 63 °C à cœur.~Ajouter les noisettes concassées au service.
Dinde en roulés de chou, sauce de poivron|plat|dinde:320,chou:300,poivron:300,huile:14,eau:100|30,40,0|hob,oven,blender|Blanchir quatre feuilles de chou 4 min dans une eau jetée. Couper les escalopes de dinde en quatre portions et les envelopper de chou.~Cuire les roulés dans un plat couvert 25 à 30 min à 180 °C jusqu'à 74 °C au centre.~Cuire le poivron en dés dans l'eau 20 min puis mixer avec l'huile. Servir la sauce sous les roulés.
Soupe claire de poulet, brocoli et côtes de blette|soupe|poulet:320,brocoli:300,blette:250,eau:900|20,35,0|hob|Tailler les côtes de blette en petits morceaux et les cuire dans l'eau 15 min.~Ajouter le poulet en cubes de 2 cm et poursuivre 10 min à frémissement.~Ajouter le brocoli en petits bouquets pour 8 min supplémentaires. Vérifier 74 °C au cœur de la volaille avant de servir.
Cabillaud sous une croûte tendre d'amande et courgette|plat|cabillaud:320,courgette:400,amande:30,huile:14|20,30,0|oven|Râper 150 g de courgette et presser légèrement, puis mélanger aux amandes finement hachées et à la moitié de l'huile.~Couper le reste de courgette en fines rondelles, déposer dans un plat et répartir l'huile restante.~Poser le poisson, le couvrir du mélange et cuire 20 à 25 min à 180 °C jusqu'à 63 °C à cœur. La couverture reste moelleuse.
Sardines à la vapeur sur laitue braisée|plat|sardine:320,laitue:300,champignon:200,huile:14,eau:80|20,25,0|hob|Couper les champignons en lamelles et les cuire 8 min avec l'eau dans une sauteuse couverte.~Ajouter la laitue en grosses lanières, poser les filets de sardine dessus et couvrir.~Cuire 8 à 12 min jusqu'à 63 °C à cœur du poisson. Ajouter l'huile après cuisson.
Maquereau et poivrons en terrine à servir chaude|plat|maquereau:320,poivron:350,courgette:200,huile:12|25,40,0|oven|Couper les légumes en fines lamelles et les cuire 15 min à 180 °C avec l'huile dans un plat couvert.~Tapisser deux petits plats individuels avec une partie des légumes, ajouter le poisson puis le reste des légumes.~Couvrir et cuire encore 20 à 25 min jusqu'à 63 °C au centre. Servir à la cuillère, sans démoulage obligatoire.
Poulet au cresson et purée d'aubergine|plat|poulet:320,cresson:120,aubergine:400,huile:14,eau:80|20,45,0|hob,oven,blender|Cuire l'aubergine coupée en deux au four 35 à 40 min à 190 °C, jusqu'à tendreté.~Cuire les filets de poulet dans une poêle couverte avec l'eau, environ 18 à 25 min selon l'épaisseur, jusqu'à 74 °C à cœur.~Mixer la chair d'aubergine avec le cresson cultivé préalablement cuit 3 min à la vapeur et l'huile. Servir avec le poulet tranché.
Dinde aux asperges et purée de brocoli|plat|dinde:320,asperge:300,brocoli:300,huile:14,eau:100|20,30,0|hob,blender|Cuire le brocoli à la vapeur 12 min et le mixer avec 70 ml d'eau et la moitié de l'huile.~Cuire les asperges à la vapeur 8 à 10 min.~Émincer la dinde et la cuire à la poêle avec l'huile restante et 30 ml d'eau pendant 10 à 12 min, jusqu'à 74 °C à cœur. Servir avec la purée et les asperges.
Saumon aux champignons et sésame au four|plat|saumon:300,champignon:350,epinard:180,sesame:20|15,30,0|oven|Émincer les champignons et les étaler avec les épinards lavés dans un plat couvert. Précuire 10 min à 180 °C.~Poser le saumon dessus, répartir le sésame et couvrir à nouveau.~Cuire 15 à 20 min supplémentaires jusqu'à 63 °C à cœur, puis servir avec le jus des légumes.
Cabillaud émietté, concombre et framboises|salade|cabillaud:320,concombre:300,laitue:120,framboise:100|20,20,30|oven|Cuire le cabillaud dans un plat couvert 15 à 20 min à 180 °C, jusqu'à 63 °C à cœur. Refroidir rapidement puis réfrigérer.~Couper le concombre en dés et émincer la laitue. Écraser la moitié des framboises en coulis sans ajout.~Émietter le poisson froid et l'assembler aux légumes, puis ajouter coulis et framboises entières. Consommer aussitôt, sans huile ajoutée.
Truite au fenouil et abricots frais|plat|truite:320,fenouil:350,abricot:160,eau:80|20,30,0|oven|Émincer très finement le fenouil, le déposer dans un plat avec l'eau et précuire à couvert 10 min à 180 °C.~Ajouter les filets de truite et les abricots coupés en quartiers.~Couvrir et cuire encore 15 à 20 min jusqu'à 63 °C à cœur du poisson.
Poulet haché en champignons farcis|plat|poulet:320,champignon:400,courgette:200,huile:14|25,35,0|hob,oven|Retirer les pieds de gros champignons et les hacher avec la courgette. Cuire ces légumes 8 min pour réduire leur eau.~Hacher le poulet cru sur une planche séparée. Mélanger aux légumes tiédis et à l'huile, puis garnir les chapeaux.~Cuire 25 à 30 min à 180 °C, jusqu'à 74 °C au centre de chaque farce. Cuire l'excédent éventuel en ramequin à côté.
Dinde en bouillon de fenouil et radis cuits|soupe|dinde:320,fenouil:300,radis:200,ciboulette:10,eau:800|20,30,0|hob|Émincer le fenouil et couper les radis en deux. Les cuire dans l'eau frémissante 12 min.~Ajouter la dinde en fines lanières et poursuivre 10 à 15 min jusqu'à 74 °C à cœur.~Parsemer de ciboulette avant de servir, avec les radis devenus tendres.
Saumon aux courgettes, crème d'avocat tiède|plat|saumon:300,courgette:400,avocat:140,ciboulette:8,eau:60|20,25,0|hob,oven,blender|Cuire les courgettes à la vapeur 10 min. Cuire le saumon au four à 180 °C 15 à 20 min, jusqu'à 63 °C à cœur.~Mixer l'avocat avec l'eau tiède et la ciboulette, sans citron.~Napper les courgettes de cette crème et servir avec le poisson immédiatement, sans faire bouillir l'avocat.
Sardines sur chou-fleur écrasé et noisettes|plat|sardine:320,chou_fleur:450,noisette:25,huile:12,eau:80|20,25,0|hob,oven|Cuire le chou-fleur à la vapeur 15 min, puis l'écraser avec l'eau et l'huile.~Cuire les filets de sardine dans un plat couvert à 180 °C 10 à 15 min, jusqu'à 63 °C à cœur.~Servir le poisson sur l'écrasé et ajouter les noisettes hachées.
Cabillaud aux poivrons et purée d'amande maison|plat|cabillaud:320,poivron:350,amande:35,ciboulette:8,eau:150|20,35,0|hob,oven,blender|Cuire les poivrons en lamelles dans un plat couvert 15 min à 180 °C.~Mixer les amandes avec l'eau chaude et la ciboulette pour une sauce non filtrée.~Poser le poisson sur les poivrons, verser la sauce, couvrir et cuire 15 à 20 min jusqu'à 63 °C à cœur.
Poulet en papillote à la tomate et aux courgettes|plat|poulet:320,tomate:300,courgette:300|20,35,0|oven|Couper les tomates en petits dés et les courgettes en fines rondelles.~Répartir les légumes dans deux papillotes et poser les filets de poulet dessus, sans huile ni sel ajouté.~Fermer et cuire 25 à 35 min à 180 °C jusqu'à 74 °C au centre de la volaille.
Dinde en paupiettes d'endive et noix|plat|dinde:320,endive:350,noix:25,huile:14,eau:80|25,35,0|hob,oven|Émincer les endives et les faire fondre avec l'eau 12 min à couvert, puis ajouter les noix hachées.~Aplatir les escalopes de dinde, garnir d'un peu d'endive, rouler et maintenir avec de la ficelle.~Disposer sur les endives restantes, ajouter l'huile et cuire à couvert 25 min à 180 °C, jusqu'à 74 °C au centre. Retirer la ficelle.
Truite en salade de mâche et poire|salade|truite:320,mache:120,poire:200,concombre:180|20,20,30|oven|Cuire la truite au four dans un plat couvert 15 à 20 min à 180 °C jusqu'à 63 °C à cœur ; refroidir rapidement et réfrigérer.~Laver et essorer la mâche. Couper poire et concombre en lamelles.~Émietter la truite et mélanger délicatement. Consommer immédiatement, sans huile ni vinaigrette ajoutée.
Maquereau en papillote de chou aux groseilles|plat|maquereau:300,chou:300,groseille:100,eau:50|25,30,0|hob,oven|Blanchir quatre feuilles de chou dans une eau ensuite jetée pendant 4 min.~Envelopper les filets de maquereau dans les feuilles avec les groseilles. Déposer dans un plat avec les 50 ml d'eau.~Couvrir et cuire 20 à 25 min à 180 °C, jusqu'à 63 °C à cœur du poisson.
Poulet au chou-fleur et sauce de pignons|plat|poulet:320,chou_fleur:400,pignon:30,huile:12,eau:140|20,30,0|hob,blender|Cuire le chou-fleur à la vapeur 15 min.~Cuire le poulet dans une poêle couverte avec 60 ml d'eau et la moitié de l'huile pendant 20 à 25 min, jusqu'à 74 °C à cœur.~Mixer les pignons avec 80 ml d'eau et l'huile restante. Réchauffer doucement cette sauce et servir avec poulet et chou-fleur.
Cabillaud en poivrons farcis aux champignons|plat|cabillaud:320,poivron:400,champignon:220,huile:14|25,40,0|hob,oven|Couper les poivrons en deux et les précuire dans un plat couvert 15 min à 180 °C.~Faire réduire les champignons hachés à la poêle 8 min, les laisser tiédir puis mélanger au cabillaud en petits dés et à l'huile.~Garnir les poivrons, couvrir et cuire encore 20 à 25 min jusqu'à 63 °C au centre de la farce.
# Soupes de légumes, entrées et accompagnements
Velouté de chou-fleur et fenouil, sans matière grasse ajoutée|soupe|chou_fleur:400,fenouil:250,ciboulette:10,eau:700|15,25,0|hob,blender|Couper le chou-fleur en petits bouquets et émincer le fenouil.~Cuire dans l'eau frémissante 20 à 25 min jusqu'à tendreté.~Mixer soigneusement, répartir dans les bols et ajouter la ciboulette ciselée.
Soupe verte de cresson cultivé et courgette|soupe|cresson:150,courgette:450,eau:650|15,20,0|hob,blender|Couper la courgette en petits dés et la cuire dans l'eau 15 min.~Laver le cresson cultivé, l'ajouter et poursuivre 5 min de cuisson.~Mixer jusqu'à une texture lisse et servir aussitôt.
Potage de carotte et céleri-rave aux noisettes|soupe|carotte:350,celeri_rave:300,noisette:25,eau:800|15,30,0|hob,blender|Couper carotte et céleri-rave en petits dés.~Faire frémir dans l'eau 25 à 30 min, puis mixer les légumes avec tout ou partie du bouillon selon la texture souhaitée.~Répartir les noisettes hachées dans les bols au service ; conserver l'éventuel bouillon restant pour ajuster la soupe.
Soupe rustique de côtes de blette et rutabaga|soupe|blette:350,rutabaga:300,celeri:100,eau:850|20,35,0|hob|Retirer les fils des blettes et couper les légumes en petits dés.~Faire frémir rutabaga et céleri dans l'eau 15 min puis ajouter les blettes.~Poursuivre 20 min jusqu'à tendreté et servir avec le bouillon, sans mixer.
Crème de courge aux endives|soupe|courge:450,endive:250,eau:750|15,30,0|hob,blender|Couper la courge en cubes et les endives en tronçons après avoir retiré leur cône dur.~Faire cuire dans l'eau 25 à 30 min à petit frémissement.~Mixer jusqu'à obtenir un velouté ; la douceur de la courge tempère l'amertume des endives.
Soupe rustique de navets et haricots verts|soupe|navet:350,haricot_vert:300,celeri:100,eau:850|20,30,0|hob|Couper navets et céleri en petits dés et équeuter les haricots.~Cuire navets et céleri dans l'eau 12 min, puis ajouter les haricots en tronçons.~Poursuivre 15 à 18 min jusqu'à tendreté et servir avec le bouillon.
Velouté de brocoli aux amandes entières mixées|soupe|brocoli:500,amande:35,eau:700|15,25,0|hob,blender|Séparer les bouquets du brocoli et peler sa tige avant de la couper en dés.~Cuire tige, bouquets et amandes dans l'eau 20 min.~Mixer longuement sans filtrer, pour conserver les solides. Vérifier la texture avant de servir.
Soupe de champignons et chou blanc en lamelles|soupe|champignon:350,chou:300,persil:10,eau:900|20,30,0|hob|Émincer très finement le chou et couper les champignons en lamelles.~Cuire ensemble dans l'eau 25 à 30 min à petit frémissement.~Ajouter le persil ciselé après cuisson et servir sans mixer.
Soupe de poivron doux et courgette sans tomate|soupe|poivron:400,courgette:300,basilic:10,eau:700|20,25,0|hob,blender|Retirer graines et membranes des poivrons, puis couper avec les courgettes en morceaux.~Cuire dans l'eau 20 à 25 min.~Mixer avec le basilic frais et servir chaud ou refroidir rapidement avant de réfrigérer pour une version froide.
Crème de panais aux côtes de blette|soupe|panais:350,blette:300,eau:800|20,30,0|hob,blender|Retirer les fibres épaisses des côtes de blette et les émincer. Couper le panais en petits cubes.~Cuire dans l'eau 25 à 30 min jusqu'à tendreté des deux légumes.~Mixer soigneusement ; ajouter un peu d'eau potable chaude si nécessaire, puis rectifier la température de service.
Potage de rutabaga et carotte au persil|soupe|rutabaga:350,carotte:300,persil:12,eau:850|20,35,0|hob,blender|Peler le rutabaga et le couper avec les carottes en cubes de 1 cm.~Faire frémir dans l'eau pendant 30 à 35 min.~Mixer la moitié du potage puis la remettre dans la casserole. Ajouter le persil au service.
Soupe d'asperges aux petits pois et basilic|soupe|asperge:350,petits_pois:250,basilic:10,eau:700|20,20,0|hob,blender|Parer les asperges, réserver les pointes et couper les tiges en tronçons.~Cuire les tiges et les petits pois dans l'eau 12 min. Ajouter les pointes pour 5 min de plus, puis les prélever.~Mixer le reste avec le basilic et remettre les pointes dans les bols.
Velouté de betterave au chou-fleur|soupe|betterave:350,chou_fleur:350,eau:850|20,40,0|hob,blender|Peler la betterave et la tailler en très petits cubes. La cuire dans l'eau 20 min.~Ajouter les bouquets de chou-fleur et poursuivre 15 à 20 min, jusqu'à tendreté complète de la betterave.~Mixer sans ajout de vinaigre, citron ou crème.
Soupe claire de courgette, endive et radis|soupe|courgette:300,endive:250,radis:200,eau:800|20,25,0|hob|Retirer le cône dur des endives et les émincer. Couper courgettes et radis en petits morceaux.~Cuire les légumes dans l'eau frémissante 20 à 25 min.~Servir en bouillon avec les légumes entiers, sans huile ni sel ajouté.
Bouillon de chou-fleur, radis et laitue|soupe|chou_fleur:300,radis:250,laitue:180,eau:900|20,25,0|hob|Couper le chou-fleur en petits bouquets et les radis en deux.~Les faire frémir dans l'eau 15 à 20 min jusqu'à tendreté.~Ajouter la laitue émincée pour les 3 dernières minutes et servir en soupe claire.
Soupe de concombre et avocat à la ciboulette|soupe|concombre:450,avocat:140,ciboulette:10,eau:200|15,0,30|blender|Couper le concombre et l'avocat, puis les mixer avec l'eau et la ciboulette.~Vérifier la consistance et mixer encore si nécessaire ; ne pas ajouter de citron.~Réfrigérer 30 min dans un récipient fermé et servir bien frais le jour même.
Crème de carotte aux noix et céleri branche|soupe|carotte:450,celeri:180,noix:30,eau:750|15,30,0|hob,blender|Couper les carottes en rondelles et le céleri en petits tronçons, en retirant ses fils.~Faire frémir dans l'eau 25 min puis ajouter les noix pendant 5 min.~Mixer toute la préparation et servir chaude.
